id,first_name,second_name,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
37,Shane,Duffy,31,100.0,100.0,61933,0,0,-2,2,0,2,2.0,1.5,1,1.5,False,,2019-09-25T22:00:12.331496Z,48,61933.jpg,2.4,1.0,False,,a,4,36,48297,414,165198,727,0.3,6.5,Duffy,891,1,0,2,13,0,0,0,1,0,0,0,158,203.2,14.4,56.0,27.3
38,Martín,Montoya,52,100.0,100.0,86153,0,0,-1,1,1,2,2.7,2.2,2,2.2,False,,2019-09-14T16:30:10.724610Z,44,86153.jpg,2.7,0.7,False,,a,4,36,86081,2982,86262,1329,0.5,11.8,Montoya,1443,0,1,5,20,0,0,0,3,0,0,3,248,264.8,235.2,165.0,66.7
39,Bernardo,Fernandes da Silva Junior,14,100.0,100.0,209362,0,0,-2,2,0,2,2.5,2.0,2,2.0,False,,2019-09-14T16:30:10.738160Z,43,209362.jpg,2.3,0.1,False,,a,4,36,4118,403,9156,148,0.5,3.3,Bernardo,301,0,0,1,6,0,0,0,0,0,0,2,70,65.4,38.2,27.0,13.1
40,Leon,Balogun,0,100.0,100.0,52484,0,0,-1,1,0,2,0.5,0.0,0,0.0,False,,2019-09-12T13:00:14.154646Z,44,52484.jpg,0.0,0.1,False,,a,4,36,1175,20,4616,35,0.0,0.0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41,Gaëtan,Bong,3,,,42748,0,0,-2,2,0,2,0.5,0.0,0,0.0,False,,,43,42748.jpg,0.8,0.1,False,,a,4,36,2210,33,7286,59,0.0,0.7,Bong,57,0,0,0,3,0,0,0,0,0,0,0,15,16.0,27.9,6.0,5.0
42,Lewis,Dunk,76,100.0,100.0,83299,0,0,3,-3,3,2,3.5,3.0,2,3.0,False,,2019-12-26T12:30:21.551588Z,48,83299.jpg,3.8,14.2,False,,a,4,36,1201539,30702,754635,15648,0.6,15.8,Dunk,1800,2,3,5,26,0,0,0,7,0,0,11,398,481.8,99.3,214.0,79.4
43,Matthew,Clarke,0,0.0,0.0,178173,0,0,-1,1,0,2,0.0,0.0,0,0.0,False,Joined Derby County on loan until the end of the season on 2/8. - Expected back 01 Jul,2019-08-02T11:00:13.040927Z,44,178173.jpg,0.0,0.0,False,,n,4,36,381,0,1234,7,0.0,0.0,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44,Glenn,Murray,17,100.0,75.0,20529,-1,1,-6,6,0,4,1.0,0.4,1,0.5,False,,2020-01-05T01:00:11.784092Z,54,20529.jpg,1.2,0.7,False,,a,4,36,44311,279,217434,505,0.1,3.1,Murray,414,0,0,2,4,0,0,0,0,0,0,0,17,15.0,35.1,91.0,13.8
45,Jürgen,Locadia,3,0.0,0.0,106757,0,0,-3,3,0,4,0.0,0.0,0,0.0,False,Joined TSG Hoffenheim on loan until the end of the season on 29/8. - Expected back 01 Jul,2019-08-29T13:00:09.129312Z,52,106757.jpg,1.5,0.1,False,,n,4,36,6597,8,23478,39,0.0,0.6,Locadia,85,0,0,1,1,0,0,0,0,0,0,0,5,3.2,1.3,30.0,3.3
46,Florin,Andone,5,0.0,0.0,93284,0,0,-2,2,0,4,0.0,0.0,0,0.0,False,Joined Galatasaray on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-08-24T16:30:09.164349Z,48,93284.jpg,1.7,0.4,False,,n,4,36,159604,13,195408,181,0.0,1.0,Andone,71,1,0,0,2,0,0,0,0,1,0,1,20,45.0,11.3,21.0,7.6
