id,first_name,second_name,team,team_code,total_points,minutes,now_cost,selected_by_percent,points_list,minutes_list
202,Aymeric,Laporte,11,43,9,306,63,1.9,"[6.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[90.0, 90.0, 90.0, 36.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
203,Kyle,Walker,11,43,54,1447,58,11.4,"[8.0, 1.0, 1.0, 6.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 14.0, 1.0, 0.0, 1.0, 2.0, 0.0, 6.0, 2.0, 1.0, 6.0, 0.0, 0.0]","[90.0, 90.0, 89.0, 90.0, 90.0, 53.0, 90.0, 45.0, 0.0, 0.0, 90.0, 90.0, 0.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 0.0]"
204,Benjamin,Mendy,11,43,31,831,55,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 6.0, 6.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 5.0, 5.0, 1.0, 0.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 45.0, 0.0, 0.0, 90.0, 72.0, 0.0, 0.0, 90.0, 90.0, 0.0, 0.0, 84.0, 90.0, 90.0, 0.0, 90.0, 90.0]"
206,Oleksandr,Zinchenko,11,43,26,680,52,2.5,"[6.0, 1.0, 2.0, 6.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 0.0, 0.0]","[90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 90.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 90.0, 0.0, 0.0]"
207,John,Stones,11,43,22,789,53,1.0,"[6.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[90.0, 0.0, 0.0, 0.0, 90.0, 0.0, 0.0, 0.0, 11.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 58.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0]"
208,Nicolás,Otamendi,11,43,47,1021,50,2.3,"[0.0, 1.0, 1.0, 6.0, 1.0, 15.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 7.0, 8.0, 2.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 90.0, 90.0, 90.0, 90.0, 62.0, 90.0, 90.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 90.0, 31.0, 90.0, 90.0, 90.0, 0.0, 0.0, 27.0]"
209,Danilo Luiz,da Silva,11,43,0,0,50,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
210,Sergio,Agüero,11,43,102,994,118,12.9,"[5.0, 6.0, 13.0, 16.0, 6.0, 9.0, 4.0, 2.0, 0.0, 1.0, 6.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 8.0, 0.0, 20.0]","[21.0, 65.0, 90.0, 90.0, 90.0, 90.0, 24.0, 90.0, 0.0, 14.0, 90.0, 70.0, 76.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 80.0, 0.0, 90.0]"
211,Gabriel Fernando,de Jesus,11,43,84,1087,95,2.9,"[6.0, 1.0, 0.0, 0.0, 4.0, 0.0, 6.0, 1.0, 7.0, 5.0, 1.0, 0.0, 1.0, 2.0, 13.0, 2.0, 5.0, 6.0, 0.0, 1.0, 13.0, 10.0]","[68.0, 24.0, 0.0, 0.0, 33.0, 0.0, 65.0, 15.0, 90.0, 90.0, 45.0, 19.0, 13.0, 83.0, 90.0, 90.0, 90.0, 90.0, 0.0, 2.0, 90.0, 90.0]"
212,Ederson,Santana de Moraes,11,43,59,1631,60,11.8,"[7.0, 1.0, 3.0, 6.0, 1.0, 7.0, 4.0, 0.0, 6.0, 9.0, 1.0, 0.0, 2.0, 1.0, 2.0, 2.0, 6.0, 2.0, -3.0, 0.0, 0.0, 2.0]","[90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 11.0, 0.0, 0.0, 90.0]"
